pc_name,cand_name,partyname,totvotpoll,electors
Andaman & Nicobar Islands,K.R. Ganesh,Independents,25168.0,85308.0
Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,35400.0,85308.0
Andaman & Nicobar Islands,Ramesh Mazumdar,Independents,109.0,96084.0
Andaman & Nicobar Islands,Alagiri Swamy,Independents,125.0,96084.0
Andaman & Nicobar Islands,Kannu Chemy,Independents,405.0,96084.0
Andaman & Nicobar Islands,K.N. Raju,Independents,470.0,96084.0
Andaman & Nicobar Islands,Rajender Lall Saha,Janta Party (Secular),717.0,96084.0
Andaman & Nicobar Islands,Karpu Swamy,Independents,1123.0,96084.0
Andaman & Nicobar Islands,Samar Choudhury,Janta Party,2034.0,96084.0
Andaman & Nicobar Islands,K. Kanda Swamy,Independents,15856.0,96084.0
Andaman & Nicobar Islands,P.K.S. Prasad,Communist Party Of India (Marxist),16014.0,96084.0
Andaman & Nicobar Islands,Manoranjan Bhakta,Indian Natioanl Congress (I),42046.0,96084.0
Andaman & Nicobar Islands,Kandaswamy,Independent,505.0,115565.0
Andaman & Nicobar Islands,Mahananda Biswas,Independent,780.0,115565.0
Andaman & Nicobar Islands,A.A.J.Hazra,Independent,1695.0,115565.0
Andaman & Nicobar Islands,Nilima Das,Communist Party Of India (Marxist),11086.0,115565.0
Andaman & Nicobar Islands,K.Kandaswamy,Lok Dal,27883.0,115565.0
Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,47019.0,115565.0
Andaman & Nicobar Islands,Shreef J.B.,Independent,225.0,160940.0
Andaman & Nicobar Islands,Zubaida Cheku,Independent,553.0,160940.0
Andaman & Nicobar Islands,Robert R.,Independent,806.0,160940.0
Andaman & Nicobar Islands,Maridar S.M.J,Independent,4457.0,160940.0
Andaman & Nicobar Islands,Kandaswamy K.,Indian Congress (Socialist- Sarat Chandra Sinha),19172.0,160940.0
Andaman & Nicobar Islands,Tapan Bepari,Communist Party Of India (Marxist),34469.0,160940.0
Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,53383.0,160940.0
Andaman & Nicobar Islands,Sherefe J.B.,Independent,205.0,169120.0
Andaman & Nicobar Islands,Balakrishna Naidu S.V.,Independent,454.0,169120.0
Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janata Party,5208.0,169120.0
Andaman & Nicobar Islands,Tapan Bepari,Communist Party Of India (Marxist),47374.0,169120.0
Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,54075.0,169120.0
Andaman & Nicobar Islands,Sharieff J B,Independent,188.0,211226.0
Andaman & Nicobar Islands,Balraj S A,Independent,258.0,211226.0
Andaman & Nicobar Islands,Satyanarayana Rao S,Independent,448.0,211226.0
Andaman & Nicobar Islands,Kalimuthu,Independent,511.0,211226.0
Andaman & Nicobar Islands,Mohan N B,Janata Party,527.0,211226.0
Andaman & Nicobar Islands,Mathews P A,Independent,544.0,211226.0
Andaman & Nicobar Islands,Vinod Kumar Gupta,Independent,707.0,211226.0
Andaman & Nicobar Islands,Sundaram S N,Independent,927.0,211226.0
Andaman & Nicobar Islands,Tapan Kumar Bepari,Communist Party Of India (Marxist),18363.0,211226.0
Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janata Party,31097.0,211226.0
Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,74642.0,211226.0
Andaman & Nicobar Islands,Kalimuthu Dhevar K.,Independent,182.0,232013.0
Andaman & Nicobar Islands,Henry,Independent,3509.0,232013.0
Andaman & Nicobar Islands,Tapan Kumar Bepari,Communist Party Of India (Marxist),8272.0,232013.0
Andaman & Nicobar Islands,Kuldeep Rai Sharma,Indian Congress (Socialist),29687.0,232013.0
Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janata Party,51821.0,232013.0
Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,52365.0,232013.0
Andaman & Nicobar Islands,Kali Muthu Dhevar K,Independent,136.0,247384.0
Andaman & Nicobar Islands,Uma Bharathi,Nationalist Congress Party,1015.0,247384.0
Andaman & Nicobar Islands,Agapil Kujur,Independent,4805.0,247384.0
Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,62944.0,247384.0
Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janata Party,76891.0,247384.0
Andaman & Nicobar Islands,K Perumal,SWD,298.0,241645.0
Andaman & Nicobar Islands,K Kalimuthu,IND,387.0,241645.0
Andaman & Nicobar Islands,Asit Baran Dutta,IND,523.0,241645.0
Andaman & Nicobar Islands,Gour Chandra Majumder,IND,543.0,241645.0
Andaman & Nicobar Islands,Dr Shanmugam,LJNSP,691.0,241645.0
Andaman & Nicobar Islands,A K Biswas,BSP,1122.0,241645.0
Andaman & Nicobar Islands,Deepak Biswas,IND,1186.0,241645.0
Andaman & Nicobar Islands,N K P Nair,CPI(ML)(L),1448.0,241645.0
Andaman & Nicobar Islands,R S Uma Bharathy,NCP,2364.0,241645.0
Andaman & Nicobar Islands,Tapan Kumar Bepari,CPM,4175.0,241645.0
Andaman & Nicobar Islands,Bishnu Pada Ray,BJP,55294.0,241645.0
Andaman & Nicobar Islands,Manoranjan Bhakta,INC,85794.0,241645.0
Andaman & Nicobar Islands,Shri. T. Ali,Independent,398.0,265110.0
Andaman & Nicobar Islands,Dr. Thankachan,Independent,683.0,265110.0
Andaman & Nicobar Islands,Shri. N. K. P. Nair,Communist Party Of India (Marxist-Leninist) (Liberation),734.0,265110.0
Andaman & Nicobar Islands,Shri. M. S. Mohan,Bahujan Samaj Party,789.0,265110.0
Andaman & Nicobar Islands,Shri. Vakiath Valappil Khalid,Independent,1480.0,265110.0
Andaman & Nicobar Islands,Shri. Pradeep Kumar Ekka,Jharkhand Disom Party,1785.0,265110.0
Andaman & Nicobar Islands,Smti. R. S. Uma Bharatthy,Nationalist Congress Party,4696.0,265110.0
Andaman & Nicobar Islands,Shri. P. R. Ganeshan,Rashtriya Janata Dal,4916.0,265110.0
