voter_id,pc_name
Andaman & Nicobar Islands_V000001,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000002,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000003,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000004,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000005,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000006,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000007,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000008,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000009,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000010,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000011,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000012,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000013,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000014,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000015,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000016,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000017,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000018,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000019,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000020,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000021,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000022,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000023,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000024,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000025,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000026,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000027,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000028,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000029,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000030,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000031,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000032,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000033,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000034,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000035,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000036,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000037,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000038,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000039,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000040,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000041,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000042,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000043,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000044,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000045,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000046,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000047,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000048,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000049,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000050,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000051,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000052,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000053,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000054,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000055,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000056,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000057,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000058,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000059,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000060,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000061,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000062,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000063,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000064,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000065,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000066,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000067,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000068,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000069,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000070,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000071,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000072,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000073,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000074,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000075,Andaman & Nicobar Islands
