voter_id,candidate_name,pc_name
Andaman & Nicobar Islands_V000001,K.R. Ganesh,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000002,Manoranjan Bhakta,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000003,Ramesh Mazumdar,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000004,Alagiri Swamy,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000005,Kannu Chemy,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000006,K.N. Raju,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000007,Rajender Lall Saha,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000008,Karpu Swamy,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000009,Samar Choudhury,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000010,K. Kanda Swamy,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000011,P.K.S. Prasad,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000012,Manoranjan Bhakta,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000013,Kandaswamy,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000014,Mahananda Biswas,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000015,A.A.J.Hazra,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000016,Nilima Das,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000017,K.Kandaswamy,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000018,Manoranjan Bhakta,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000019,Shreef J.B.,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000020,Zubaida Cheku,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000021,Robert R.,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000022,Maridar S.M.J,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000023,Kandaswamy K.,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000024,Tapan Bepari,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000025,Manoranjan Bhakta,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000026,Sherefe J.B.,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000027,Balakrishna Naidu S.V.,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000028,Bishnu Pada Ray,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000029,Tapan Bepari,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000030,Manoranjan Bhakta,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000031,Sharieff J B,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000032,Balraj S A,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000033,Satyanarayana Rao S,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000034,Kalimuthu,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000035,Mohan N B,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000036,Mathews P A,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000037,Vinod Kumar Gupta,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000038,Sundaram S N,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000039,Tapan Kumar Bepari,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000040,Bishnu Pada Ray,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000041,Manoranjan Bhakta,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000042,Kalimuthu Dhevar K.,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000043,Henry,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000044,Tapan Kumar Bepari,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000045,Kuldeep Rai Sharma,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000046,Bishnu Pada Ray,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000047,Manoranjan Bhakta,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000048,Kali Muthu Dhevar K,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000049,Uma Bharathi,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000050,Agapil Kujur,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000051,Manoranjan Bhakta,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000052,Bishnu Pada Ray,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000053,K Perumal,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000054,K Kalimuthu,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000055,Asit Baran Dutta,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000056,Gour Chandra Majumder,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000057,Dr Shanmugam,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000058,A K Biswas,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000059,Deepak Biswas,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000060,N K P Nair,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000061,R S Uma Bharathy,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000062,Tapan Kumar Bepari,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000063,Bishnu Pada Ray,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000064,Manoranjan Bhakta,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000065,Shri. T. Ali,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000066,Dr. Thankachan,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000067,Shri. N. K. P. Nair,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000068,Shri. M. S. Mohan,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000069,Shri. Vakiath Valappil Khalid,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000070,Shri. Pradeep Kumar Ekka,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000071,Smti. R. S. Uma Bharatthy,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000072,Shri. P. R. Ganeshan,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000073,Shri Tapan Kumar Bepari,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000074,Shri. Kuldeep Rai Sharma,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000075,Shri. Bishnu Pada Ray,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000076,A Pandian,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000077,N Kannan,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000078,C G Saji Kumar,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000079,Raghubir Singh,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000080,V V Khalid,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000081,N K P Nair,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000082,Saravanan,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000083,Gour Chandra Majumder,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000084,R.S.Uma Bharatthy,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000085,None Of The Above,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000086,Prakash Minj,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000087,K.G.Das,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000088,Anita Mondal,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000089,Sanjay Meshack,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000090,Kuldeep Rai Sharma,Andaman & Nicobar Islands
Andaman & Nicobar Islands_V000091,Bishnu Pada Ray,Andaman & Nicobar Islands
Srikakulam_V000092,Bompalli Ramanna,Srikakulam
Srikakulam_V000093,Gouthu Latchanna,Srikakulam
Srikakulam_V000094,Rajgopalarao Boddepalli,Srikakulam
Parvathipuram_V000095,Satya Prasad Thatraj Veeravara Thodarmal,Parvathipuram
Parvathipuram_V000096,Vyrichorla Kishore Chandra Suryanarayana Deo,Parvathipuram
Bobbili_V000097,Appalanaidu Gottapu,Bobbili
Bobbili_V000098,U. L. N. Raju,Bobbili
Bobbili_V000099,Ramulu Botsa,Bobbili
Bobbili_V000100,Apparao Gudivada,Bobbili
Bobbili_V000101,Penta Ramaswamy,Bobbili
Bobbili_V000102,Peesapati Pundarikaksha Chari,Bobbili
Bobbili_V000103,Pusapati Vijayrama Gajapathi Raju,Bobbili
Visakhapatnam_V000104,Surendranath Kandala,Visakhapatnam
Visakhapatnam_V000105,M. V. Bhadram,Visakhapatnam
Visakhapatnam_V000106,Tenneti Viswanathan,Visakhapatnam
Visakhapatnam_V000107,Dronamraju Satyanarayana,Visakhapatnam
Bhadrachalam_V000108,Tellam Sundara Rao,Bhadrachalam
Bhadrachalam_V000109,Karam Baapanna Dora,Bhadrachalam
Bhadrachalam_V000110,Suraboina Suvarna Kumar,Bhadrachalam
Bhadrachalam_V000111,Sode Ramaiah,Bhadrachalam
Bhadrachalam_V000112,P. Vani Ramanarao,Bhadrachalam
Bhadrachalam_V000113,Radha Bai Ananda Rao,Bhadrachalam
Anakapalli_V000114,Bonu Lakshmanarao,Anakapalli
Anakapalli_V000115,Chalapathi Rao P. V.,Anakapalli
Anakapalli_V000116,Appalanaidu S. R. A. S.,Anakapalli
Kakinada_V000117,Chintapalli Apparao,Kakinada
Kakinada_V000118,Dadala Ramanayya,Kakinada
Kakinada_V000119,Chinta Subbarao,Kakinada
Kakinada_V000120,Vaddi Mutyalarao,Kakinada
Kakinada_V000121,Sanjeevirao M. S.,Kakinada
Rajahmundry_V000122,Dadala Ramanayya,Rajahmundry
Rajahmundry_V000123,Vemavarapu Samuel,Rajahmundry
Rajahmundry_V000124,Padmaraju Varrey,Rajahmundry
Rajahmundry_V000125,Manthena Venkata Surya Subbaraju,Rajahmundry
Rajahmundry_V000126,Pattabhirama Rao S. B. P.,Rajahmundry
Amalapuram_V000127,Mohanarao Kanety,Amalapuram
